isin	wkn	ticker	valor	name	inception_date	age_in_days	age_in_years	strategy	domicile_country	currency	hedged	securities_lending	dividends	ter	replication	size	is_sustainable	number_of_holdings	yesterday	last_week	last_month	last_three_months	last_six_months	last_year	last_three_years	last_five_years	2023	2022	2021	2020	last_dividends	last_year_dividends	last_year_volatility	last_three_years_volatility	last_five_years_volatility	last_year_return_per_risk	last_three_years_return_per_risk	last_five_years_return_per_risk	max_drawdown	last_year_max_drawdown	last_three_years_max_drawdown	last_five_years_max_drawdown
LU0629459743	A1JA1R	UIMM	13042150	UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-dis	2011-08-19	4793	13.131506849315068	Long-only	Luxembourg	USD	False	False	Distributing	0.22	Full replication	4285	True	409	16.47	0.06	1.46	2.86	4.43	25.69	30.78	81.16	24.41	-19.97	35.06	8.73	1.08	1.35	12.79	16.75	18.73	2.0	0.56	0.67	-32.76	-9.54	-23.09	-32.76
IE00BYXYYP94	A2DN9V	IS09	36324506	iShares USD Short Duration Corporate Bond UCITS ETF (Acc)	2017-04-13	2729	7.476712328767123	Long-only	Ireland	USD	False	True	Accumulating	0.2	Sampling	4282	False	2671	4.29	0.0	0.75	-0.19	1.33	3.48	9.86	8.52	1.99	1.41	7.83	-4.56			6.43	8.26	7.63	0.54	0.39	0.22	-14.65	-2.77	-11.78	-11.78
IE00B1FZS798	A0LGP4	IUSM	2803820	iShares USD Treasury Bond 7-10yr UCITS ETF (Dist)	2006-12-08	6508	17.83013698630137	Long-only	Ireland	USD	False	True	Distributing	0.07	Sampling	4244	False	12	4.65	0.75	2.03	3.95	3.5	6.77	-3.41	-4.67	0.11	-9.68	4.72	0.67	3.43	3.54	9.32	11.73	10.5	0.72	-0.1	-0.09	-21.17	-4.8	-16.06	-21.17
IE00BYXPSP02	A2DN9Z	IS0F	36414884	iShares USD Treasury Bond 1-3yr UCITS ETF (Acc)	2017-04-13	2729	7.476712328767123	Long-only	Ireland	USD	False	True	Accumulating	0.07	Sampling	4194	False	92	3.27	-0.2	0.4	-0.59	1.0	1.61	8.14	5.21	0.62	2.32	7.47	-5.35			6.48	8.4	7.74	0.25	0.31	0.13	-15.11	-3.39	-13.38	-13.38
LU0274208692	DBX1MW	DBXW	2825395	Xtrackers MSCI World Swap UCITS ETF 1C	2006-12-19	6497	17.8	Long-only	Luxembourg	USD	False	False	Accumulating	0.45	Swap based Unfunded	4166	False		17.48	0.22	0.99	1.97	5.51	25.46	33.79	81.61	19.44	-13.13	31.91	6.14			11.42	15.37	18.28	2.22	0.66	0.69	-53.4	-8.76	-17.0	-33.85
LU1437018168	A2ATY6	A4H8	34333488	Amundi Index Euro Corporate SRI UCITS ETF DR (C)	2016-11-11	2882	7.895890410958904	Long-only	Luxembourg	EUR	False	False	Accumulating	0.14	Sampling	4112	True	2772	4.11	0.48	1.67	3.88	3.51	9.73	-4.15	-2.76	7.66	-13.79	-1.19	2.47			3.31	4.7	4.19	2.93	-0.3	-0.13	-17.4	-1.53	-16.63	-17.4
LU0380865021	DBX1ET	XESC	4549696	Xtrackers EURO STOXX 50 UCITS ETF 1C	2008-08-29	5878	16.104109589041094	Long-only	Luxembourg	EUR	False	True	Accumulating	0.09	Full replication	4109	False	50	12.55	0.36	0.02	0.76	-0.5	22.23	34.29	61.55	22.8	-9.03	23.99	-2.88			12.89	17.73	20.59	1.72	0.58	0.49	-46.53	-9.71	-23.37	-38.24
DE000A0F5UF5	A0F5UF	EXXT	2496130	iShares Nasdaq 100 UCITS ETF (DE)	2006-03-27	6764	18.53150684931507	Long-only	Germany	USD	False	False	Distributing	0.31	Full replication	4098	False	101	17.03	-0.73	0.77	-3.48	5.31	28.37	40.6	155.64	48.87	-29.46	39.11	34.41	0.28	0.36	18.06	24.3	26.09	1.57	0.49	0.79	-46.85	-14.57	-31.54	-31.54
IE00BM67HT60	A113FM	XDWT	31698395	Xtrackers MSCI World Information Technology UCITS ETF 1C	2016-03-09	3129	8.572602739726028	Long-only	Ireland	USD	False	True	Accumulating	0.25	Full replication	4086	False	156	23.54	-0.86	-0.16	-4.93	7.45	39.38	54.23	176.37	48.16	-26.58	40.5	31.47			20.82	24.72	26.47	1.89	0.63	0.85	-31.92	-17.17	-29.03	-31.92
IE00BHZPJ676	A2PDNW	EMNU	46193920	iShares MSCI Europe ESG Enhanced UCITS ETF EUR (Dist)	2019-03-12	2031	5.564383561643836	Long-only	Ireland	EUR	False	False	Distributing	0.12	Optimized sampling	4085	True	384	12.11	0.44	-0.29	2.37	4.77	19.91	23.49	51.41	16.01	-12.3	25.58	-1.42	2.75	3.2	10.38	14.35	17.3	1.91	0.51	0.5	-34.55	-6.98	-21.62	-34.55
IE0008471009	935927	EUN2	1065278	iShares Core EURO STOXX 50 UCITS ETF EUR (Dist)	2000-04-03	8948	24.515068493150686	Long-only	Ireland	EUR	False	True	Distributing	0.1	Full replication	3973	False	51	12.41	0.26	-0.08	0.65	-0.5	22.07	34.14	61.38	22.82	-9.33	23.74	-3.02	2.92	3.47	12.86	17.73	20.58	1.71	0.58	0.49	-64.48	-9.73	-23.36	-38.22
IE00BGHQ0G80	A1W8SB	XMAW	23470971	Xtrackers MSCI AC World ESG Screened UCITS ETF 1C	2014-02-10	3887	10.64931506849315	Long-only	Ireland	EUR	False	True	Accumulating	0.25	Optimized sampling	3968	True	2023	17.21	0.67	1.42	1.97	5.95	25.27	29.57	73.71	19.4	-14.63	27.85	6.33			11.11	13.65	16.68	2.27	0.66	0.7	-33.43	-9.58	-17.35	-33.43
IE00B3VWN518	A0X8SJ	SXRM	10200800	iShares USD Treasury Bond 7-10yr UCITS ETF (Acc)	2009-06-03	5600	15.342465753424657	Long-only	Ireland	USD	False	True	Accumulating	0.07	Sampling	3964	False	13	3.99	0.11	1.38	3.3	2.93	6.1	-4.02	-5.29	0.1	-10.64	5.83	0.66			9.32	12.1	10.75	0.65	-0.11	-0.1	-21.19	-4.79	-16.08	-21.19
LU0274211217	DBX1EU	XESX	2825565	Xtrackers EURO STOXX 50 UCITS ETF 1D	2007-01-04	6481	17.756164383561643	Long-only	Luxembourg	EUR	False	True	Distributing	0.09	Full replication	3952	False	50	12.53	0.35	0.02	0.75	-0.48	22.2	34.22	61.39	22.8	-9.05	23.99	-2.93	3.1	3.67	12.89	17.73	20.59	1.72	0.58	0.49	-58.3	-9.73	-23.38	-38.24
IE00B52VJ196	A1H7ZS	IUSK	12592862	iShares MSCI Europe SRI UCITS ETF (Acc)	2011-02-25	4968	13.610958904109589	Long-only	Ireland	EUR	False	False	Accumulating	0.2	Full replication	3918	True	116	10.66	0.23	-1.47	0.99	2.65	20.39	19.14	56.2	17.17	-15.6	26.52	4.09			10.79	14.5	16.95	1.88	0.41	0.55	-33.19	-8.06	-23.4	-33.19
LU1681043599	A2H59Q	AMEW	38784696	Amundi MSCI World UCITS ETF EUR (C)	2009-06-16	5587	15.306849315068494	Long-only	Luxembourg	EUR	False	False	Accumulating	0.38	Swap based Unfunded	3902	False		17.42	0.45	0.9	1.91	5.45	25.36	33.55	81.3	19.46	-12.87	30.94	6.26			11.09	14.27	17.47	2.28	0.71	0.72	-33.77	-9.05	-16.89	-33.77
